Unnamed: 0,key,fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,hour,day_of_week
187972,2014-12-08 23:26:00.000000157,5.5,2014-12-08 23:26:00+00:00,-74.000458,40.72399,-73.989682,40.725797,1,23,0
42897898,2010-06-24 18:11:00.00000028,5.3,2010-06-24 18:11:00+00:00,-73.955315,40.779068,-73.970558,40.76465,5,18,3
16700122,2012-11-14 20:58:04.0000006,32.3,2012-11-14 20:58:04+00:00,-73.87092,40.773705,-73.96434599999999,40.7971,3,20,2
13592810,2011-09-19 08:02:00.00000052,4.1,2011-09-19 08:02:00+00:00,-73.992195,40.748958,-73.987078,40.743065,1,8,0
8457062,2013-12-04 15:45:00.000000146,12.0,2013-12-04 15:45:00+00:00,-73.981912,40.748837,-73.982935,40.76028,6,15,2
12017205,2014-02-12 13:05:00.00000058,14.5,2014-02-12 13:05:00+00:00,-74.00839,40.745527,-73.990328,40.747882,1,13,2
24180810,2012-03-10 01:11:36.0000001,12.1,2012-03-10 01:11:36+00:00,-73.986081,40.722661,-73.95891,40.716867,1,1,5
15859996,2009-08-22 22:20:00.00000014,4.5,2009-08-22 22:20:00+00:00,-73.86903199999999,40.773432,-73.870828,40.770777,1,22,5
35638949,2010-03-21 21:49:59.0000001,7.7,2010-03-21 21:49:59+00:00,-73.953788,40.771198,-73.976303,40.758948,3,21,6
8486779,2012-09-30 16:50:31.0000001,40.3,2012-09-30 16:50:31+00:00,-73.974834,40.757266,-73.865381,40.770814,4,16,6
8352820,2012-03-19 10:33:00.00000057,4.5,2012-03-19 10:33:00+00:00,-73.974418,40.755002000000005,-73.974053,40.759622,1,10,0
39933478,2014-10-29 08:55:30.0000001,12.5,2014-10-29 08:55:30+00:00,-73.97148299999999,40.746332,-73.977397,40.755779,1,8,2
20288996,2009-10-22 20:47:41.0000005,9.7,2009-10-22 20:47:41+00:00,-73.982465,40.762352,-73.949725,40.772215,1,20,3
385851,2011-12-06 08:43:18.0000003,7.3,2011-12-06 08:43:18+00:00,-73.957861,40.76542,-73.980774,40.769957,1,8,1
11700145,2013-04-21 02:05:00.000000161,13.5,2013-04-21 02:05:00+00:00,-73.97739200000001,40.687532,-73.961837,40.713172,1,2,6
47937365,2015-02-16 11:35:12.0000005,8.5,2015-02-16 11:35:12+00:00,-73.95636749267578,40.77892684936523,-73.9769515991211,40.78984451293945,1,11,0
54498653,2013-07-15 22:05:29.0000001,15.0,2013-07-15 22:05:29+00:00,-73.991004,40.755773,-73.992888,40.718144,1,22,0
36972271,2010-05-10 05:58:14.0000001,6.5,2010-05-10 05:58:14+00:00,-73.97475899999999,40.732858,-73.972045,40.754391,1,5,0
26624035,2010-05-26 18:19:00.000000110,11.3,2010-05-26 18:19:00+00:00,-74.002012,40.729597,-73.999133,40.761228,5,18,2
4250437,2012-05-17 09:26:00.000000175,85.4,2012-05-17 09:26:00+00:00,-73.989705,40.758455,-74.182645,40.687798,1,9,3
9533111,2012-03-10 01:07:17.0000002,8.1,2012-03-10 01:07:17+00:00,-73.99544499999999,40.720818,-73.983172,40.722547,1,1,5
2880508,2009-10-25 00:11:02.0000001,5.7,2009-10-25 00:11:02+00:00,-73.99195,40.738241,-73.990564,40.725026,2,0,6
18369738,2013-07-24 21:15:00.00000062,11.5,2013-07-24 21:15:00+00:00,-73.962657,40.794542,-73.963707,40.765777,1,21,2
15545682,2011-07-03 21:51:00.00000099,9.3,2011-07-03 21:51:00+00:00,-74.003775,40.753127,-73.990875,40.726682,2,21,6
37741986,2012-12-01 13:20:00.000000250,27.5,2012-12-01 13:20:00+00:00,-73.964095,40.80808,-73.98209200000001,40.731132,1,13,5
53439790,2015-05-03 23:32:00.0000003,7.0,2015-05-03 23:32:00+00:00,-73.98403930664062,40.73765563964844,-74.00101470947266,40.74650955200195,2,23,6
29611541,2011-01-08 16:05:00.00000067,7.3,2011-01-08 16:05:00+00:00,-73.966852,40.79433,-73.988972,40.767593,1,16,5
31407760,2012-03-09 23:04:34.0000002,13.7,2012-03-09 23:04:34+00:00,-73.983897,40.729532,-73.979685,40.776417,4,23,4
50327686,2011-09-07 10:33:11.0000003,49.8,2011-09-07 10:33:11+00:00,-73.997683,40.755621000000005,-73.997662,40.755608,1,10,2
7935427,2014-03-16 15:58:01.0000002,5.0,2014-03-16 15:58:01+00:00,-73.98005699999999,40.780965,-73.97063299999999,40.789231,1,15,6
48493182,2014-05-31 17:26:15.0000003,8.0,2014-05-31 17:26:15+00:00,-73.987749,40.748835,-74.003237,40.734877,2,17,5
54790338,2014-07-09 04:17:31.0000001,17.0,2014-07-09 04:17:31+00:00,-73.990105,40.767017,-74.010927,40.708745,1,4,2
47970316,2013-05-27 13:51:03.0000002,6.0,2013-05-27 13:51:03+00:00,-73.974052,40.763692,-73.954813,40.769917,1,13,0
5048758,2013-09-23 20:45:00.00000030,16.5,2013-09-23 20:45:00+00:00,-73.976147,40.764712,-73.92025,40.740137,1,20,0
35663623,2014-08-22 01:40:12.0000002,6.0,2014-08-22 01:40:12+00:00,-73.993849,40.721126,-74.0006,40.728751,1,1,4
19813144,2009-05-25 19:10:18.0000002,15.3,2009-05-25 19:10:18+00:00,-74.01071800000001,40.711093,-73.97415500000001,40.756727000000005,4,19,0
4096629,2012-05-08 12:26:18.0000003,7.7,2012-05-08 12:26:18+00:00,-73.955374,40.782971,-73.967381,40.764315,1,12,1
38300618,2011-04-11 14:39:23.0000005,13.7,2011-04-11 14:39:23+00:00,-73.997897,40.762014,-74.000229,40.719905,1,14,0
45284396,2013-08-23 18:11:00.000000187,10.0,2013-08-23 18:11:00+00:00,-73.98928000000001,40.757877,-73.97397,40.762707,1,18,4
34326103,2009-02-17 20:48:00.00000070,3.7,2009-02-17 20:48:00+00:00,-73.986478,40.718225,-73.99335,40.720298,1,20,1
28989381,2015-02-26 07:56:19.0000004,20.0,2015-02-26 07:56:19+00:00,-73.94538879394531,40.80250930786133,-73.9526596069336,40.766300201416016,1,7,3
18300216,2009-03-06 14:23:00.000000154,4.1,2009-03-06 14:23:00+00:00,-73.927298,40.744342,-73.936735,40.748405,5,14,4
21844239,2011-12-29 14:23:00.000000144,6.9,2011-12-29 14:23:00+00:00,-73.983992,40.765015000000005,-73.978842,40.782568,1,14,3
16177221,2014-09-23 15:42:18.0000003,7.0,2014-09-23 15:42:18+00:00,-73.96544399999999,40.771853,-73.953637,40.771177,1,15,1
39727704,2009-05-26 12:36:00.00000042,7.7,2009-05-26 12:36:00+00:00,-73.958005,40.768622,-73.95997,40.779345,1,12,1
9801398,2013-07-09 18:59:00.00000015,9.5,2013-07-09 18:59:00+00:00,-73.957587,40.776705,-73.982477,40.774602,4,18,1
34945104,2015-01-22 14:36:48.0000005,3.0,2015-01-22 14:36:48+00:00,-73.99781799316406,40.72064971923828,-73.99718475341797,40.72401809692383,1,14,3
35521847,2011-08-15 22:30:00.00000015,8.1,2011-08-15 22:30:00+00:00,-74.01010699999999,40.720268,-73.993957,40.751352,1,22,0
9320871,2013-09-10 12:09:00.00000036,6.5,2013-09-10 12:09:00+00:00,-73.973292,40.789932,-73.964782,40.806627,6,12,1
20064518,2009-08-25 22:13:00.00000090,6.9,2009-08-25 22:13:00+00:00,-73.976438,40.776323,-73.951912,40.784557,1,22,1
6673013,2012-10-14 09:02:11.0000001,6.0,2012-10-14 09:02:11+00:00,-73.993865,40.743356,-73.978515,40.752376,1,9,6
4404572,2010-11-29 13:00:00.00000052,8.5,2010-11-29 13:00:00+00:00,-73.976122,40.75098,-73.959385,40.768652,1,13,0
10964269,2011-09-26 16:51:38.0000002,4.9,2011-09-26 16:51:38+00:00,-73.9574,40.8015,-73.9602,40.8099,1,16,0
11992350,2009-09-26 12:31:00.000000100,6.1,2009-09-26 12:31:00+00:00,-73.972758,40.746247,-73.974855,40.729712,5,12,5
49835234,2009-03-19 23:56:11.0000001,7.8,2009-03-19 23:56:11+00:00,-74.00205,40.724486,-73.98134399999999,40.741275,1,23,3
20786978,2009-11-27 19:42:00.00000065,3.3,2009-11-27 19:42:00+00:00,-73.978297,40.736498,-73.97399999999999,40.738857,1,19,4
28281106,2012-08-10 14:02:07.0000001,25.3,2012-08-10 14:02:07+00:00,-73.9868,40.716082,-73.87289,40.774478,2,14,4
43044238,2012-05-16 16:23:00.00000063,6.9,2012-05-16 16:23:00+00:00,-73.986637,40.746197,-73.99014,40.729242,1,16,2
12899434,2013-10-25 23:29:11.0000003,5.0,2013-10-25 23:29:11+00:00,-73.981038,40.738036,-73.97381999999999,40.748861,2,23,4
41546741,2009-02-17 17:39:00.00000060,10.1,2009-02-17 17:39:00+00:00,-73.968017,40.75567,-73.9947,40.760515000000005,1,17,1
7123448,2011-04-12 15:18:39.0000002,4.1,2011-04-12 15:18:39+00:00,-73.992913,40.758488,-73.997901,40.754135,1,15,1
3359184,2011-09-19 09:04:19.0000002,8.1,2011-09-19 09:04:19+00:00,-73.975931,40.744577,-74.005433,40.744975,1,9,0
9669092,2013-12-04 13:50:01.0000003,13.5,2013-12-04 13:50:01+00:00,-73.98116999999999,40.744545,-73.958834,40.768151,1,13,2
